filename,breed,style,setting
dog_001.png,unknown,unknown,unknown
dog_002.png,unknown,unknown,unknown
dog_003.png,unknown,unknown,unknown
dog_004.png,unknown,unknown,unknown
dog_005.png,unknown,unknown,unknown
dog_006.png,unknown,unknown,unknown
dog_007.png,unknown,unknown,unknown
dog_008.png,unknown,unknown,unknown
dog_009.png,unknown,unknown,unknown
dog_010.png,unknown,unknown,unknown
dog_011.png,unknown,unknown,unknown
dog_012.png,unknown,unknown,unknown
dog_013.png,unknown,unknown,unknown
dog_014.png,unknown,unknown,unknown
dog_015.png,unknown,unknown,unknown
dog_016.png,unknown,unknown,unknown
dog_017.png,unknown,unknown,unknown
dog_018.png,unknown,unknown,unknown
dog_019.png,unknown,unknown,unknown
dog_020.png,unknown,unknown,unknown
dog_021.png,unknown,unknown,unknown
dog_022.png,unknown,unknown,unknown
dog_023.png,unknown,unknown,unknown
dog_024.png,unknown,unknown,unknown
dog_025.png,unknown,unknown,unknown
dog_026.png,unknown,unknown,unknown
dog_027.png,unknown,unknown,unknown
dog_028.png,unknown,unknown,unknown
dog_029.png,unknown,unknown,unknown
dog_030.png,unknown,unknown,unknown
dog_031.png,unknown,unknown,unknown
dog_032.png,unknown,unknown,unknown
dog_033.png,unknown,unknown,unknown
dog_034.png,unknown,unknown,unknown
dog_035.png,unknown,unknown,unknown
dog_036.png,unknown,unknown,unknown
dog_037.png,unknown,unknown,unknown
dog_038.png,unknown,unknown,unknown
dog_039.png,unknown,unknown,unknown
dog_040.png,unknown,unknown,unknown
dog_041.png,unknown,unknown,unknown
dog_042.png,unknown,unknown,unknown
dog_043.png,unknown,unknown,unknown
dog_044.png,unknown,unknown,unknown
dog_045.png,unknown,unknown,unknown
dog_046.png,unknown,unknown,unknown
dog_047.png,unknown,unknown,unknown
dog_048.png,unknown,unknown,unknown
dog_049.png,unknown,unknown,unknown
dog_050.png,unknown,unknown,unknown
dog_051.png,unknown,unknown,unknown
dog_052.png,unknown,unknown,unknown
dog_053.png,unknown,unknown,unknown
dog_054.png,unknown,unknown,unknown
dog_055.png,unknown,unknown,unknown
dog_056.png,unknown,unknown,unknown
dog_057.png,unknown,unknown,unknown
dog_058.png,unknown,unknown,unknown
dog_059.png,unknown,unknown,unknown
dog_060.png,unknown,unknown,unknown
dog_061.png,unknown,unknown,unknown
dog_062.png,unknown,unknown,unknown
dog_063.png,unknown,unknown,unknown
dog_064.png,unknown,unknown,unknown
dog_065.png,unknown,unknown,unknown
dog_066.png,unknown,unknown,unknown
dog_067.png,unknown,unknown,unknown
dog_068.png,unknown,unknown,unknown
dog_069.png,unknown,unknown,unknown
dog_070.png,unknown,unknown,unknown
dog_071.png,unknown,unknown,unknown
dog_072.png,unknown,unknown,unknown
dog_073.png,unknown,unknown,unknown
dog_074.png,unknown,unknown,unknown
dog_075.png,unknown,unknown,unknown
dog_076.png,unknown,unknown,unknown
dog_077.png,unknown,unknown,unknown
dog_078.png,unknown,unknown,unknown
dog_079.png,unknown,unknown,unknown
dog_080.png,unknown,unknown,unknown
dog_081.png,unknown,unknown,unknown
dog_082.png,unknown,unknown,unknown
dog_083.png,unknown,unknown,unknown
dog_084.png,unknown,unknown,unknown
dog_085.png,unknown,unknown,unknown
dog_086.png,unknown,unknown,unknown
dog_087.png,unknown,unknown,unknown
dog_088.png,unknown,unknown,unknown
dog_089.png,unknown,unknown,unknown
dog_090.png,unknown,unknown,unknown
dog_091.png,unknown,unknown,unknown
dog_092.png,unknown,unknown,unknown
dog_093.png,unknown,unknown,unknown
dog_094.png,unknown,unknown,unknown
dog_095.png,unknown,unknown,unknown
dog_096.png,unknown,unknown,unknown
dog_097.png,unknown,unknown,unknown
dog_098.png,unknown,unknown,unknown
dog_099.png,unknown,unknown,unknown
dog_100.png,unknown,unknown,unknown
